"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10_1";"P10_2";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P21_1";"P21_2";"P21_3";"P21_4";"P21_5";"P21_6";"P22";"P23";"P24";"V05";"V07";"V08";"V09";"V09_A";"V09_B_1";"V09_B_2";"V09_B_3";"V09_B_4";"V09_B_97";"V10";"V11";"V12";"V12_A";"V13";"V14";"V14_A";"V14_B";"V14_C";"V14_D";"V14_F";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_DOM_SIMPLES";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"2153";25;3;5;1;1;1;1;1;3;1;1;1;3;25;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;1;1;2;1;1;3;2;1;6;;2;2;2;2;2;2;1;;;2;1;5;1;;;;;2;2;1;4;1;1;3;1;1;3;20650371,2362658;8602333,35355409;11020165,745746;6955158,89754272;10843662,275684;0,280795892141403;3221,96950677608
"2154";15;3;4;4;1;2;2;2;5;2;1;1;3;15;1;2;3;2;1;2;1;2;2;1;2;2;2;2;1;2;2;2;3;2;4;2;1;4;2;2;2;2;2;2;2;2;2;2;;1;2;2;3;1;;;1;5;1;4;3;2;1;1;1;2;6635351,59351707;2204355,52273676;2438978,46931809;2403297,95069104;5331736,77354466;0,457804394479624;45938,1347716565
"2155";21;2;6;1;5;2;2;2;5;3;2;1;2;26;2;;;2;2;1;2;2;1;2;1;2;1;1;1;2;1;1;1;1;2;2;3;4;1;2;2;2;2;2;2;1;;;1;5;3;2;3;2;3;11;2;2;3;4;1;1;2;3;2;1;20650371,2362658;8602333,35355409;28042475,6364488;6955158,89754272;19569199,9578762;0,330673301613998;12551,5111598111
"2156";35;3;5;4;1;1;2;2;5;3;2;1;3;35;2;;;2;2;1;2;2;1;2;1;1;2;2;1;2;2;1;2;1;97;1;2;4;1;1;2;2;2;1;2;2;1;;5;1;97;1;;;;;3;1;2;4;1;1;97;1;1;2;39313715,0641353;16426598,6548108;7120100,46124758;19056393,9532222;28682242,4740766;0,662028921374107;29831,7190048304
"2157";41;3;3;1;3;1;1;1;3;1;1;1;2;41;1;2;2;2;2;1;1;1;1;1;2;1;2;2;1;2;2;2;1;1;4;1;3;4;2;2;2;2;2;2;2;1;;;5;1;2;2;1;2;2;1;4;4;3;4;1;1;1;1;2;2;12930544,5058041;4412989,44798431;4529896,19224138;6035664,3758086;10940047,4281071;0,572897660758402;18614,717652065
"2158";29;3;5;2;1;1;1;2;4;3;1;2;2;29;1;6;2;1;2;2;2;1;1;1;2;1;2;2;2;2;2;2;1;2;2;1;3;1;;2;2;2;2;2;2;2;2;1;;2;2;2;6;1;;;2;4;3;1;2;2;1;2;1;2;24016636,1990366;6803249,7668619;28042475,6364488;17994192,7590122;14254145,2017422;2,9886574487814;267105,633306027
"2159";35;1;4;2;1;2;1;2;1;3;2;2;3;35;1;7;1;2;2;97;2;2;1;2;2;1;1;2;2;2;97;97;2;97;97;2;3;2;1;2;2;2;2;2;2;1;;;1;2;3;2;3;1;;;3;4;3;2;1;1;2;2;1;3;33729345,155718;12274670,31592;26621802,0272178;11106514,9869069;29495819,6060058;0,879264257922035;28496,087151323
"2160";35;1;5;1;2;1;1;2;5;1;1;1;2;35;2;;;2;1;1;1;2;1;1;2;1;1;2;1;1;1;2;2;2;4;1;1;4;1;2;2;2;2;2;2;1;;;1;3;97;2;4;1;;;3;3;1;4;1;1;97;3;1;3;39313715,0641353;13074442,5753399;38434986,0707912;19056393,9532222;29495819,6060058;0,879264257922035;30342,6876197887
"2161";35;3;3;2;2;3;97;2;5;3;3;1;3;35;2;;;2;1;1;2;1;2;2;97;1;2;97;97;2;1;97;2;2;2;1;1;4;1;2;2;2;2;2;2;2;2;2;;3;97;2;4;1;;;3;5;1;4;3;2;97;3;1;3;39313715,0641353;18051853,6107218;38434986,0707912;19056393,9532222;29495819,6060058;1,22455830677376;54201,1094885738
"2162";35;2;5;2;2;1;1;2;3;1;1;1;2;35;1;4;4;2;1;1;1;1;1;2;2;1;1;2;1;2;1;1;2;2;3;1;1;4;1;2;2;2;2;2;2;1;;;5;1;3;2;3;2;1;1;3;2;1;4;1;1;2;1;2;2;39313715,0641353;13215495,0630608;38434986,0707912;19056393,9532222;28682242,4740766;1,0204652556448;34219,336438391
